PMID,DOI,First_Author,Year,Title,Journal,Publication_Type,Original_Operational_Analysis_Group,Eligibility_Outcome,Eligibility_Code,Final_Operational_Analysis_Group,Analytic_Set_Decision,Narrative_Context_Status,Trigger_Rule_IDs,Evidence_Level,Eligibility_Rationale
36052317,10.3389/fdgth.2022.929508,Kwong JCC,2022,The silent trial - the bridge between bench-to-bedside clinical AI applications.,Frontiers in digital health,Journal Article,Implementation/ethics/reporting search stream,INCLUDE,,Implementation/ethics/reporting search stream,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI;CTX01_BROAD_DOMAIN_WITHOUT_TITLE_UROLOGY,PRIOR_HUMAN_ABSTRACT_REVIEW,The title and available abstract identify machine learning applied to the in-scope task described in 'The silent trial - the bridge between bench-to-bedside clinical AI applications.'.
36386255,10.21037/tau-22-266,Xu Y,2022,Identification of a novel peripheral blood signature diagnosing subclinical acute rejection after renal transplantation.,Translational andrology and urology,Journal Article,Implementation/ethics/reporting search stream,EXCLUDE,E01_NON_UROLOGICAL,Implementation/ethics/reporting search stream,EXCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,PUBMED_ABSTRACT,Kidney-transplant subclinical-rejection blood signature without a separable urological task.
36428521,10.3390/biomedicines10112953,Weaver C,2022,Diagnostic and Prognostic Biomarkers in Renal Clear Cell Carcinoma.,Biomedicines,Journal Article; Review,Implementation/ethics/reporting search stream,EXCLUDE,E05_NO_SUBSTANTIVE_AI,Implementation/ethics/reporting search stream,EXCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,"The available evidence for 'Diagnostic and Prognostic Biomarkers in Renal Clear Cell Carcinoma' reports conventional imaging, statistics, digital/AR/VR technology, biomarkers, or automation without a substantive AI/ML method or application."
36532301,10.1371/journal.pdig.0000006,Loftus TJ,2022,"Ideal algorithms in healthcare: Explainable, dynamic, precise, autonomous, fair, and reproducible.",PLOS digital health,Journal Article,Implementation/ethics/reporting search stream,CONTEXT_ONLY,E10_CONTEXT_ONLY,Implementation/ethics/reporting search stream,EXCLUDE,CONTEXT_ONLY,SCP06_GENERAL_GOVERNANCE_WITHOUT_UROLOGY;AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI;CTX01_BROAD_DOMAIN_WITHOUT_TITLE_UROLOGY,ABSTRACT,"'Ideal algorithms in healthcare: Explainable, dynamic, precise, autonomous, fair, and reproducible' addresses general healthcare AI reporting, governance, ethics, or implementation without a urology-specific task; it may support methods context but should not contribute to corpus counts."
36691151,10.1136/bmjopen-2022-061519,Shahzad R,2022,Quality of reporting of randomised controlled trials of artificial intelligence in healthcare: a systematic review.,BMJ open,Journal Article; Systematic Review,Implementation/ethics/reporting search stream,CONTEXT_ONLY,E10_CONTEXT_ONLY,Implementation/ethics/reporting search stream,EXCLUDE,CONTEXT_ONLY,SCP06_GENERAL_GOVERNANCE_WITHOUT_UROLOGY;CTX01_BROAD_DOMAIN_WITHOUT_TITLE_UROLOGY,ABSTRACT,"'Quality of reporting of randomised controlled trials of artificial intelligence in healthcare: a systematic review' addresses general healthcare AI reporting, governance, ethics, or implementation without a urology-specific task; it may support methods context but should not contribute to corpus counts."
34049980,10.2967/jnumed.120.261863,Nickols N,2022,aPROMISE: A Novel Automated PROMISE Platform to Standardize Evaluation of Tumor Burden in (18)F-DCFPyL Images of Veterans with Prostate Cancer.,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine","Journal Article; Research Support, Non-U.S. Gov't",Prostate Imaging,INCLUDE,,Prostate Imaging,INCLUDE,NOT_CONTEXT_ONLY,DEEP_SCOPE_FULLTEXT_CONFIRMATION,FULL_TEXT,"APROMISE is a deep-learning platform that segments anatomy, detects lesions, and generates standardized PSMA-PET reports in 109 veterans with prostate cancer, with patient- and lesion-level performance and interreader-variability results."
34315623,10.1067/j.cpradiol.2021.06.006,Salvaggio G,2022,Deep Learning Network for Segmentation of the Prostate Gland With Median Lobe Enlargement in T2-weighted MR Images: Comparison With Manual Segmentation Method.,Current problems in diagnostic radiology,Journal Article,Prostate Imaging,INCLUDE,,Prostate Imaging,INCLUDE,NOT_CONTEXT_ONLY,TEC01_TECHNICAL_ARTIFACT_WITHOUT_CLINICAL_CUE,ABSTRACT,The title and available abstract identify deep learning applied to the in-scope task described in 'Deep Learning Network for Segmentation of the Prostate Gland With Median Lobe Enlargement in T2-weighted MR Images: Comparison With Manual Segmentation Method.'.
34538094,10.1259/bjr.20210653,Ueno Y,2022,Diffusion and quantification of diffusion of prostate cancer.,The British journal of radiology,Journal Article; Review,Prostate Imaging,INCLUDE,,Prostate Imaging,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify a substantive synthesis of radiomics or pathomics and machine learning in the in-scope Prostate Imaging area described in 'Diffusion and quantification of diffusion of prostate cancer.'.
34822102,10.1007/s11547-021-01431-y,Brunese L,2022,Automatic PI-RADS assignment by means of formal methods.,La Radiologia medica,Journal Article,Prostate Imaging,INCLUDE,,Prostate Imaging,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify radiomics or pathomics applied to the in-scope task described in 'Automatic PI-RADS assignment by means of formal methods.'.
34877735,10.1002/jmri.28024,Johnson PM,2022,Deep Learning Reconstruction Enables Highly Accelerated Biparametric MR Imaging of the Prostate.,Journal of magnetic resonance imaging : JMRI,"Journal Article; Research Support, N.I.H., Extramural",Prostate Imaging,INCLUDE,,Prostate Imaging,INCLUDE,NOT_CONTEXT_ONLY,TEC01_TECHNICAL_ARTIFACT_WITHOUT_CLINICAL_CUE,PRIOR_HUMAN_ABSTRACT_REVIEW,The title and available abstract identify deep learning applied to the in-scope task described in 'Deep Learning Reconstruction Enables Highly Accelerated Biparametric MR Imaging of the Prostate.'.
35119914,10.1259/bjr.20210816,Wang L,2022,"Quality in MR reporting of the prostate - improving acquisition, the role of AI and future perspectives.",The British journal of radiology,Journal Article; Review,Prostate Imaging,INCLUDE,,Prostate Imaging,INCLUDE,NOT_CONTEXT_ONLY,AI01_FUTURE_OR_INCIDENTAL_AI_RISK;AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,"The title and available abstract identify a substantive synthesis of machine learning in the in-scope Prostate Imaging area described in 'Quality in MR reporting of the prostate - improving acquisition, the role of AI and future perspectives.'."
35148172,10.1259/bjr.20211378,Jung W,2022,Convolutional neural network-based reconstruction for acceleration of prostate T(2) weighted MR imaging: a retro- and prospective study.,The British journal of radiology,Journal Article,Prostate Imaging,INCLUDE,,Prostate Imaging,INCLUDE,NOT_CONTEXT_ONLY,TEC01_TECHNICAL_ARTIFACT_WITHOUT_CLINICAL_CUE,ABSTRACT,The title and available abstract identify deep learning applied to the in-scope task described in 'Convolutional neural network-based reconstruction for acceleration of prostate T(2) weighted MR imaging: a retro- and prospective study.'.
35275101,10.1097/MOU.0000000000000986,Rothberg MB,2022,The role of novel imaging in prostate cancer focal therapy: treatment and follow-up.,Current opinion in urology,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Review",Prostate Imaging,INCLUDE,,Prostate Imaging,INCLUDE,NOT_CONTEXT_ONLY,DEEP_SCOPE_FULLTEXT_CONFIRMATION,ABSTRACT_PLUS_REFERENCE_LIST,"The prostate-focal-therapy review substantively synthesizes AI applied to multiparametric-MRI lesion localization, supported by a concentrated evidence block covering deep learning, convolutional detection and segmentation, computer-aided diagnosis, and MRI classification."
35453847,10.3390/diagnostics12040799,Michaely HJ,2022,"Current Value of Biparametric Prostate MRI with Machine-Learning or Deep-Learning in the Detection, Grading, and Characterization of Prostate Cancer: A Systematic Review.","Diagnostics (Basel, Switzerland)",Journal Article; Review,Prostate Imaging,INCLUDE,,Prostate Imaging,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,"The title and available abstract identify a substantive synthesis of deep learning in the in-scope Prostate Imaging area described in 'Current Value of Biparametric Prostate MRI with Machine-Learning or Deep-Learning in the Detection, Grading, and Characterization of Prostate Cancer: A Systematic Review.'."
35454767,10.3390/cancers14081859,Gurwin A,2022,Alternatives for MRI in Prostate Cancer Diagnostics-Review of Current Ultrasound-Based Techniques.,Cancers,Journal Article; Review,Prostate Imaging,EXCLUDE,E05_NO_SUBSTANTIVE_AI,Prostate Imaging,EXCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,"The available evidence for 'Alternatives for MRI in Prostate Cancer Diagnostics-Review of Current Ultrasound-Based Techniques' reports conventional imaging, statistics, digital/AR/VR technology, biomarkers, or automation without a substantive AI/ML method or application."
35455043,10.3390/life12040552,Hotker AM,2022,Abbreviated MR Protocols in Prostate MRI.,"Life (Basel, Switzerland)",Journal Article; Review,Prostate Imaging,EXCLUDE,E05_NO_SUBSTANTIVE_AI,Prostate Imaging,EXCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,"The available evidence for 'Abbreviated MR Protocols in Prostate MRI' reports conventional imaging, statistics, digital/AR/VR technology, biomarkers, or automation without a substantive AI/ML method or application."
35645317,10.3390/clinpract12030040,Mata C,2022,Usefulness of Collaborative Work in the Evaluation of Prostate Cancer from MRI.,Clinics and practice,Journal Article,Prostate Imaging,EXCLUDE,E05_NO_SUBSTANTIVE_AI,Prostate Imaging,EXCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,"The available evidence for 'Usefulness of Collaborative Work in the Evaluation of Prostate Cancer from MRI' reports conventional imaging, statistics, digital/AR/VR technology, biomarkers, or automation without a substantive AI/ML method or application."
35841780,10.1016/j.compbiomed.2022.105817,Adams LC,2022,Prostate158 - An expert-annotated 3T MRI dataset and algorithm for prostate cancer detection.,Computers in biology and medicine,"Journal Article; Research Support, Non-U.S. Gov't",Prostate Imaging,INCLUDE,,Prostate Imaging,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify deep learning applied to the in-scope task described in 'Prostate158 - An expert-annotated 3T MRI dataset and algorithm for prostate cancer detection.'.
35896912,10.1007/s12149-022-01780-2,Nakamoto Y,2022,Recent topics of the clinical utility of PET/MRI in oncology and neuroscience.,Annals of nuclear medicine,Journal Article; Review,Prostate Imaging,INCLUDE,,Prostate Imaging,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify a substantive synthesis of machine learning in the in-scope Prostate Imaging area described in 'Recent topics of the clinical utility of PET/MRI in oncology and neuroscience.'.
36006066,10.3390/tomography8040168,Faiella E,2022,Quantib Prostate Compared to an Expert Radiologist for the Diagnosis of Prostate Cancer on mpMRI: A Single-Center Preliminary Study.,"Tomography (Ann Arbor, Mich.)",Journal Article,Prostate Imaging,INCLUDE,,Prostate Imaging,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify machine learning applied to the in-scope task described in 'Quantib Prostate Compared to an Expert Radiologist for the Diagnosis of Prostate Cancer on mpMRI: A Single-Center Preliminary Study.'.
36018488,10.1007/s11547-022-01541-1,Yao F,2022,Machine learning-based radiomics for multiple primary prostate cancer biological characteristics prediction with (18)F-PSMA-1007 PET: comparison among different volume segmentation thresholds.,La Radiologia medica,Journal Article,Prostate Imaging,INCLUDE,,Prostate Imaging,INCLUDE,NOT_CONTEXT_ONLY,TEC01_TECHNICAL_ARTIFACT_WITHOUT_CLINICAL_CUE,ABSTRACT,The title and available abstract identify radiomics or pathomics and machine learning applied to the in-scope task described in 'Machine learning-based radiomics for multiple primary prostate cancer biological characteristics prediction with (18)F-PSMA-1007 PET: comparison among different volume segmentation thresholds.'.
36148705,10.1016/j.media.2022.102620,Vesal S,2022,Domain generalization for prostate segmentation in transrectal ultrasound images: A multi-center study.,Medical image analysis,"Journal Article; Multicenter Study; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Prostate Imaging,INCLUDE,,Prostate Imaging,INCLUDE,NOT_CONTEXT_ONLY,TEC01_TECHNICAL_ARTIFACT_WITHOUT_CLINICAL_CUE,ABSTRACT,The title and available abstract identify deep learning applied to the in-scope task described in 'Domain generalization for prostate segmentation in transrectal ultrasound images: A multi-center study.'.
36428771,10.3390/cancers14225680,Mattoni S,2022,PSMA PET for the Evaluation of Liver Metastases in Castration-Resistant Prostate Cancer Patients: A Multicenter Retrospective Study.,Cancers,Journal Article,Prostate Imaging,INCLUDE,,Prostate Imaging,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify radiomics or pathomics applied to the in-scope task described in 'PSMA PET for the Evaluation of Liver Metastases in Castration-Resistant Prostate Cancer Patients: A Multicenter Retrospective Study.'.
36543901,10.1186/s13244-022-01340-2,Wu C,2022,Automatic segmentation of prostate zonal anatomy on MRI: a systematic review of the literature.,Insights into imaging,Journal Article,Prostate Imaging,INCLUDE,,Prostate Imaging,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI;TEC01_TECHNICAL_ARTIFACT_WITHOUT_CLINICAL_CUE,ABSTRACT,The title and available abstract identify deep learning and machine learning applied to the in-scope task described in 'Automatic segmentation of prostate zonal anatomy on MRI: a systematic review of the literature.'.
36568244,10.3389/fonc.2022.1066926,Assadi M,2022,Predictive and prognostic potential of pretreatment (68)Ga-PSMA PET tumor heterogeneity index in patients with metastatic castration-resistant prostate cancer treated with 177Lu-PSMA.,Frontiers in oncology,Journal Article,Prostate Imaging,INCLUDE,,Prostate Imaging,INCLUDE,NOT_CONTEXT_ONLY,AI03_GENERIC_PREDICTION_WITHOUT_EXPLICIT_AI;AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify radiomics or pathomics applied to the in-scope task described in 'Predictive and prognostic potential of pretreatment (68)Ga-PSMA PET tumor heterogeneity index in patients with metastatic castration-resistant prostate cancer treated with 177Lu-PSMA.'.
34463809,10.1007/s00259-021-05497-8,Johnsson K,2022,"Analytical performance of aPROMISE: automated anatomic contextualization, detection, and quantification of [(18)F]DCFPyL (PSMA) imaging for standardized reporting.",European journal of nuclear medicine and molecular imaging,"Clinical Trial, Phase II; Clinical Trial, Phase III; Journal Article",Prostate Pathology,INCLUDE,,Prostate Pathology,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,"The title and available abstract identify deep learning applied to the in-scope task described in 'Analytical performance of aPROMISE: automated anatomic contextualization, detection, and quantification of [(18)F]DCFPyL (PSMA) imaging for standardized reporting.'."
34547922,10.1097/JU.0000000000002205,Martini A,2022,An Algorithm to Personalize Nerve Sparing in Men with Unilateral High-Risk Prostate Cancer.,The Journal of urology,Journal Article,Prostate Pathology,INCLUDE,,Prostate Pathology,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,PRIOR_HUMAN_ABSTRACT_REVIEW,The title and available abstract identify a substantive AI or machine-learning application applied to the in-scope task described in 'An Algorithm to Personalize Nerve Sparing in Men with Unilateral High-Risk Prostate Cancer.'.
34783976,10.1007/s11548-021-02485-z,Javadi G,2022,Towards targeted ultrasound-guided prostate biopsy by incorporating model and label uncertainty in cancer detection.,International journal of computer assisted radiology and surgery,Journal Article,Prostate Pathology,INCLUDE,,Prostate Pathology,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify deep learning applied to the in-scope task described in 'Towards targeted ultrasound-guided prostate biopsy by incorporating model and label uncertainty in cancer detection.'.
35039648,10.1038/s41598-022-04951-3,Akatsuka J,2022,A data-driven ultrasound approach discriminates pathological high grade prostate cancer.,Scientific reports,"Journal Article; Research Support, Non-U.S. Gov't",Prostate Pathology,INCLUDE,,Prostate Pathology,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify machine learning applied to the in-scope task described in 'A data-driven ultrasound approach discriminates pathological high grade prostate cancer.'.
35176252,10.1016/j.humpath.2022.01.009,Ruder S,2022,Development and validation of a quantitative reactive stroma biomarker (qRS) for prostate cancer prognosis.,Human pathology,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Prostate Pathology,INCLUDE,,Prostate Pathology,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify machine learning applied to the in-scope task described in 'Development and validation of a quantitative reactive stroma biomarker (qRS) for prostate cancer prognosis.'.
35326686,10.3390/cancers14061535,Gaba F,2022,"Raman Spectroscopy in Prostate Cancer: Techniques, Applications and Advancements.",Cancers,Journal Article; Review,Prostate Pathology,EXCLUDE,E05_NO_SUBSTANTIVE_AI,Prostate Pathology,EXCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,"The available evidence for 'Raman Spectroscopy in Prostate Cancer: Techniques, Applications and Advancements' reports conventional imaging, statistics, digital/AR/VR technology, biomarkers, or automation without a substantive AI/ML method or application."
35344123,10.1007/s11548-022-02606-2,To MNN,2022,Coarse label refinement for improving prostate cancer detection in ultrasound imaging.,International journal of computer assisted radiology and surgery,Journal Article,Prostate Pathology,INCLUDE,,Prostate Pathology,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify machine learning applied to the in-scope task described in 'Coarse label refinement for improving prostate cancer detection in ultrasound imaging.'.
35420303,10.1007/s00330-022-08712-8,Bleker J,2022,A deep learning masked segmentation alternative to manual segmentation in biparametric MRI prostate cancer radiomics.,European radiology,Journal Article; Multicenter Study,Prostate Pathology,INCLUDE,,Prostate Pathology,INCLUDE,NOT_CONTEXT_ONLY,TEC01_TECHNICAL_ARTIFACT_WITHOUT_CLINICAL_CUE,ABSTRACT,The title and available abstract identify deep learning and radiomics or pathomics applied to the in-scope task described in 'A deep learning masked segmentation alternative to manual segmentation in biparametric MRI prostate cancer radiomics.'.
35463378,10.3389/fonc.2022.772403,Qiu Y,2022,Automatic Prostate Gleason Grading Using Pyramid Semantic Parsing Network in Digital Histopathology.,Frontiers in oncology,Journal Article,Prostate Pathology,INCLUDE,,Prostate Pathology,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify deep learning and machine learning applied to the in-scope task described in 'Automatic Prostate Gleason Grading Using Pyramid Semantic Parsing Network in Digital Histopathology.'.
35506596,10.1002/mp.15698,Qin C,2022,A novel registration-based algorithm for prostate segmentation via the combination of SSM and CNN.,Medical physics,Journal Article,Prostate Pathology,INCLUDE,,Prostate Pathology,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI;TEC01_TECHNICAL_ARTIFACT_WITHOUT_CLINICAL_CUE,ABSTRACT,The title and available abstract identify deep learning applied to the in-scope task described in 'A novel registration-based algorithm for prostate segmentation via the combination of SSM and CNN.'.
35867236,10.1007/s10334-022-01031-5,Dwivedi DK,2022,Emerging MR methods for improved diagnosis of prostate cancer by multiparametric MRI.,"Magma (New York, N.Y.)",Journal Article; Review,Prostate Pathology,INCLUDE,,Prostate Pathology,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify a substantive synthesis of radiomics or pathomics and machine learning in the in-scope Prostate Pathology area described in 'Emerging MR methods for improved diagnosis of prostate cancer by multiparametric MRI.'.
35950408,10.19723/j.issn.1671-167X.2022.04.033,Hao Z,2022,[Application of Raman-based technologies in the detection of urological tumors].,Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences,Journal Article,Prostate Pathology,EXCLUDE,E05_NO_SUBSTANTIVE_AI,Prostate Pathology,EXCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,"The available evidence for '[Application of Raman-based technologies in the detection of urological tumors]' reports conventional imaging, statistics, digital/AR/VR technology, biomarkers, or automation without a substantive AI/ML method or application."
36045491,10.1117/1.JBO.27.9.095003,Picot F,2022,Image-guided Raman spectroscopy navigation system to improve transperineal prostate cancer detection. Part 1: Raman spectroscopy fiber-optics system and in situ tissue characterization.,Journal of biomedical optics,"Journal Article; Research Support, Non-U.S. Gov't",Prostate Pathology,INCLUDE,,Prostate Pathology,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify machine learning applied to the in-scope task described in 'Image-guided Raman spectroscopy navigation system to improve transperineal prostate cancer detection. Part 1: Raman spectroscopy fiber-optics system and in situ tissue characterization.'.
36230666,10.3390/cancers14194744,Tsuneki M,2022,Transfer Learning for Adenocarcinoma Classifications in the Transurethral Resection of Prostate Whole-Slide Images.,Cancers,Journal Article,Prostate Pathology,INCLUDE,,Prostate Pathology,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify deep learning applied to the in-scope task described in 'Transfer Learning for Adenocarcinoma Classifications in the Transurethral Resection of Prostate Whole-Slide Images.'.
36257091,10.1016/j.compmedimag.2022.102125,Lu X,2022,Ultrasonographic pathological grading of prostate cancer using automatic region-based Gleason grading network.,Computerized medical imaging and graphics : the official journal of the Computerized Medical Imaging Society,"Journal Article; Research Support, Non-U.S. Gov't",Prostate Pathology,INCLUDE,,Prostate Pathology,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify deep learning and computer vision applied to the in-scope task described in 'Ultrasonographic pathological grading of prostate cancer using automatic region-based Gleason grading network.'.
36288685,10.1016/j.cmpb.2022.107184,Huang H,2022,Fast detection method for prostate cancer cells based on an integrated ResNet50 and YoloV5 framework.,Computer methods and programs in biomedicine,Journal Article,Prostate Pathology,INCLUDE,,Prostate Pathology,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,PRIOR_HUMAN_ABSTRACT_REVIEW,The title and available abstract identify deep learning applied to the in-scope task described in 'Fast detection method for prostate cancer cells based on an integrated ResNet50 and YoloV5 framework.'.
34647146,10.1007/s00261-021-03293-4,Ming Y,2022,A combined postoperative nomogram for survival prediction in clear cell renal carcinoma.,Abdominal radiology (New York),"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",Renal/Kidney,INCLUDE,,Renal/Kidney,INCLUDE,NOT_CONTEXT_ONLY,AI03_GENERIC_PREDICTION_WITHOUT_EXPLICIT_AI,ABSTRACT,The title and available abstract identify radiomics or pathomics applied to the in-scope task described in 'A combined postoperative nomogram for survival prediction in clear cell renal carcinoma.'.
34739724,10.22037/uj.v18i.6825,Jiao L,2022,The Prognosis and Immune Microenvironment Related Factor Interleukin-23 in Clear Cell Renal Cell Carcinoma: A Radiological Investigation.,Urology journal,Journal Article,Renal/Kidney,INCLUDE,,Renal/Kidney,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify radiomics or pathomics applied to the in-scope task described in 'The Prognosis and Immune Microenvironment Related Factor Interleukin-23 in Clear Cell Renal Cell Carcinoma: A Radiological Investigation.'.
34968146,10.1097/JU.0000000000002390,Heller N,2022,Computer-Generated R.E.N.A.L. Nephrometry Scores Yield Comparable Predictive Results to Those of Human-Expert Scores in Predicting Oncologic and Perioperative Outcomes.,The Journal of urology,"Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, Non-P.H.S.",Renal/Kidney,INCLUDE,,Renal/Kidney,INCLUDE,NOT_CONTEXT_ONLY,AI03_GENERIC_PREDICTION_WITHOUT_EXPLICIT_AI;AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify deep learning and machine learning applied to the in-scope task described in 'Computer-Generated R.E.N.A.L. Nephrometry Scores Yield Comparable Predictive Results to Those of Human-Expert Scores in Predicting Oncologic and Perioperative Outcomes.'.
35061892,10.1093/jalm/jfab177,Bosma M,2022,"Prediction of the Values of CRP, eGFR, and Hemoglobin in the Follow-Up of Renal Cell Carcinoma Patients after (Cryo)Surgery Using Machine Learning Algorithms.",The journal of applied laboratory medicine,Journal Article,Renal/Kidney,INCLUDE,,Renal/Kidney,INCLUDE,NOT_CONTEXT_ONLY,RENAL_NEPHROLOGY_BOUNDARY_PASS,TITLE_METADATA,Renal-cell-carcinoma follow-up after renal cryosurgery or surgery is an eligible oncological task.
35159060,10.3390/cancers14030793,Gopal N,2022,"The Next Paradigm Shift in the Management of Clear Cell Renal Cancer: Radiogenomics-Definition, Current Advances, and Future Directions.",Cancers,Journal Article; Review,Renal/Kidney,INCLUDE,,Renal/Kidney,INCLUDE,NOT_CONTEXT_ONLY,AI01_FUTURE_OR_INCIDENTAL_AI_RISK;AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,"The title and available abstract identify a substantive synthesis of radiomics or pathomics and machine learning in the in-scope Renal/Kidney area described in 'The Next Paradigm Shift in the Management of Clear Cell Renal Cancer: Radiogenomics-Definition, Current Advances, and Future Directions.'."
35183395,10.1016/j.eururo.2022.01.043,Carlo MI,2022,Phase II Study of Neoadjuvant Nivolumab in Patients with Locally Advanced Clear Cell Renal Cell Carcinoma Undergoing Nephrectomy.,European urology,"Clinical Trial, Phase II; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Renal/Kidney,INCLUDE,,Renal/Kidney,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify radiomics or pathomics applied to the in-scope task described in 'Phase II Study of Neoadjuvant Nivolumab in Patients with Locally Advanced Clear Cell Renal Cell Carcinoma Undergoing Nephrectomy.'.
35203443,10.3390/biomedicines10020233,Moisoiu T,2022,SERS Liquid Biopsy Profiling of Serum for the Diagnosis of Kidney Cancer.,Biomedicines,Journal Article,Renal/Kidney,INCLUDE,,Renal/Kidney,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify machine learning applied to the in-scope task described in 'SERS Liquid Biopsy Profiling of Serum for the Diagnosis of Kidney Cancer.'.
