PMID,DOI,First_Author,Year,Title,Journal,Journal_Abbrev,Publication_Type,Original_Domain_Group,Domain_Searches,AI_Decision,Analytic_Set_Decision,Initial_Human_Audit_Decision,Abstract_Availability,Abstract_Informed_Decision,Decision_Reconciliation,Final_Domain_Group,Abstract_Informed_Rationale
40955208,10.7759/cureus.90077,Ibraheem N,2025,Integrated Magnetic Resonance Imaging in Muscle-Invasive Bladder Cancer: A Comprehensive Review.,Cureus,Cureus,Journal Article; Review,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,EXCLUDE,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_EXCLUDE_AS_INCLUDE,Bladder Cancer,Abstract explicitly discusses artificial intelligence in MRI-based muscle-invasive bladder-cancer management.
41096834,10.3390/ijms26199570,Levy J,2025,Comparative Analysis of CT and MRI Combined with RNA Sequencing for Radiogenomic Staging of Bladder Cancer.,International journal of molecular sciences,Int J Mol Sci,Comparative Study; Journal Article,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,UNCERTAIN,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_UNCERTAIN_AS_INCLUDE,Bladder Cancer,"Abstract describes radiogenomic bladder-cancer staging using imaging and RNA sequencing, within the computational biomarker scope."
39401682,10.1016/j.modpat.2024.100631,Lobo J,2025,Digital and Computational Pathology Applications in Bladder Cancer: Novel Tools Addressing Clinically Pressing Needs.,"Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc",Mod Pathol,Journal Article; Review,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Bladder Cancer,Abstract and metadata support the original human Include decision.
40448001,10.1186/s12880-025-01727-9,Marcon J,2025,Radiomics-based differentiation of upper urinary tract urothelial and renal cell carcinoma in preoperative computed tomography datasets.,BMC medical imaging,BMC Med Imaging,Journal Article,Bladder Cancer,bladder_cystoscopy; renal_kidney,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Bladder Cancer,Abstract and metadata support the original human Include decision.
41462442,10.1186/s12880-025-02060-x,Xiao B,2025,An interpretable machine learning model based on CT imaging for predicting lymphovascular invasion and survival in bladder urothelial carcinoma: a multicenter study.,BMC medical imaging,BMC Med Imaging,Journal Article; Multicenter Study,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Bladder Cancer,Abstract and metadata support the original human Include decision.
40819151,10.1038/s41698-025-01083-5,Zhang M,2025,An interpretable CT-based deep learning model for predicting overall survival in patients with bladder cancer: a multicenter study.,NPJ precision oncology,NPJ Precis Oncol,Journal Article,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Bladder Cancer,Abstract and metadata support the original human Include decision.
41233664,10.1007/s10585-025-10383-w,Zou XC,2025,A radiomics-driven machine learning model for predicting bladder cancer prognosis identifies genes associated with radiomic features.,Clinical & experimental metastasis,Clin Exp Metastasis,Journal Article,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,NO_SUBSTANTIVE_ABSTRACT,CONFIRM_INCLUDE,AGREE,Bladder Cancer,No substantive PubMed abstract was available; retained because title and metadata clearly describe an in-scope AI/urology record.
41587322,10.1093/bib/bbaf728,Gui J,2026,BiChemoCLAM: a weakly supervised multimodal framework for chemotherapy response prediction.,Briefings in bioinformatics,Brief Bioinform,Journal Article,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,UNCERTAIN,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_UNCERTAIN_AS_INCLUDE,Bladder Cancer,Abstract evaluates a multimodal deep-learning framework including bladder urothelial carcinoma chemotherapy-response prediction.
41442462,10.1093/bjr/tqaf315,Liu H,2026,Low-dose corticomedullary phase CT urography with artificial intelligence iterative reconstruction for bladder cancer evaluation.,The British journal of radiology,Br J Radiol,Journal Article,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Bladder Cancer,Abstract and metadata support the original human Include decision.
41775548,10.1053/j.semnuclmed.2026.02.004,Mena E,2026,Advances and challenges of PET imaging in bladder cancer-An update and future trends.,Seminars in nuclear medicine,Semin Nucl Med,Journal Article; Review,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,EXCLUDE,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_EXCLUDE_AS_INCLUDE,Bladder Cancer,Abstract reviews bladder-cancer PET imaging and explicitly includes radiomics and AI-driven analysis.
41630170,10.1177/08927790251387369,Meng X,2026,"Letter: Editorial Comment on: ""Enhanced Artificial Intelligence in Bladder Cancer Management: A Comparative Analysis and Optimization Study of Multiple Large Language Models"" by Li et al.",Journal of endourology,J Endourol,Journal Article,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,NO_SUBSTANTIVE_ABSTRACT,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,No substantive PubMed abstract was available; retained because title and metadata clearly describe an in-scope AI/urology record.
32479253,10.5152/tud.2020.20117,Shah M,2020,Artificial intelligence (AI) in urology-Current use and future directions: An iTRUE study.,Turkish journal of urology,Turk J Urol,Journal Article; Review,Broad Reviews,ai_urology_broad; ai_urology_implementation,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
33917035,10.3390/s21082586,Ayyad SM,2021,Role of AI and Histopathological Images in Detecting Prostate Cancer: A Survey.,"Sensors (Basel, Switzerland)",Sensors (Basel),Journal Article; Review,Broad Reviews,ai_urology_broad,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
33747134,10.1177/1756287221998134,Hameed BMZ,2021,Big Data Analytics in urology: the story so far and the road ahead.,Therapeutic advances in urology,Ther Adv Urol,Journal Article; Review,Broad Reviews,ai_urology_broad; ai_urology_implementation,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
33771476,10.1016/j.euf.2021.03.013,Higgins MI,2021,Machine Learning in Body Composition Analysis.,European urology focus,Eur Urol Focus,Journal Article; Review,Broad Reviews,ai_urology_broad; ai_urology_implementation,INCLUDE,INCLUDE,UNCERTAIN,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_UNCERTAIN_AS_INCLUDE,Broad Reviews,Abstract reviews machine learning for body-composition analysis across urologic conditions.
33965977,10.1097/MOU.0000000000000883,Oszwald A,2021,Artificial intelligence in prostate histopathology: where are we in 2021?,Current opinion in urology,Curr Opin Urol,Journal Article; Review,Broad Reviews,ai_urology_broad; ai_urology_implementation; prostate_pathology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
34575370,10.3390/jcm10184259,Punjani N,2021,Technological Advancements in Male Infertility Microsurgery.,Journal of clinical medicine,J Clin Med,Journal Article; Review,Broad Reviews,ai_urology_broad; male_infertility,INCLUDE,INCLUDE,EXCLUDE,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_EXCLUDE_AS_INCLUDE,Andrology,Abstract reviews male-infertility microsurgery and the role of AI in male infertility and microsurgery.
34009176,10.1097/MOU.0000000000000902,Thenault R,2021,Radiogenomics in prostate cancer evaluation.,Current opinion in urology,Curr Opin Urol,Journal Article; Review,Broad Reviews,ai_urology_broad,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
36160762,10.1177/17562872221125317,Banerjee V,2022,Radiogenomics influence on the future of prostate cancer risk stratification.,Therapeutic advances in urology,Ther Adv Urol,Journal Article; Review,Broad Reviews,ai_urology_broad,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
34776055,10.1016/j.ucl.2021.07.009,Chen AB,2022,Artificial Intelligence Applications in Urology: Reporting Standards to Achieve Fluency for Urologists.,The Urologic clinics of North America,Urol Clin North Am,Journal Article; Review,Broad Reviews,ai_urology_broad,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
34762720,10.11152/mu-3248,Jia Y,2022,"Ultrasound-based radiomics: current status, challenges and future opportunities.",Medical ultrasonography,Med Ultrason,Journal Article; Review,Broad Reviews,ai_urology_broad; ai_urology_implementation,INCLUDE,EXCLUDE,EXCLUDE,AVAILABLE,EXCLUDE,AGREE,Broad Reviews,Abstract is a general ultrasound-radiomics review without a urology/andrology-specific focus.
34099417,10.1016/j.euf.2021.05.005,Kozikowski M,2022,Role of Radiomics in the Prediction of Muscle-invasive Bladder Cancer: A Systematic Review and Meta-analysis.,European urology focus,Eur Urol Focus,Journal Article; Meta-Analysis; Systematic Review,Broad Reviews,ai_urology_broad; ai_urology_ethics; bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
35740526,10.3390/cancers14122860,Saxena S,2022,Role of Artificial Intelligence in Radiogenomics for Cancers in the Era of Precision Medicine.,Cancers,Cancers (Basel),Journal Article; Review,Broad Reviews,ai_urology_broad,INCLUDE,EXCLUDE,EXCLUDE,AVAILABLE,EXCLUDE,AGREE,Broad Reviews,Abstract is a general cancer radiogenomics/AI review without a urology/andrology-specific focus.
37546423,10.3389/fonc.2023.1189370,He M,2023,Research progress on deep learning in magnetic resonance imaging-based diagnosis and treatment of prostate cancer: a review on the current status and perspectives.,Frontiers in oncology,Front Oncol,Journal Article; Review,Broad Reviews,ai_urology_broad,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
37621804,10.7759/cureus.42370,Rivero-Moreno Y,2023,Robotic Surgery: A Comprehensive Review of the Literature and Current Trends.,Cureus,Cureus,Journal Article; Review,Broad Reviews,ai_urology_broad; ai_urology_implementation,INCLUDE,EXCLUDE,EXCLUDE,AVAILABLE,EXCLUDE,AGREE,Broad Reviews,Abstract is a broad robotic-surgery review and does not provide a urology-specific AI application.
38702888,10.1684/abc.2024.1882,Bachelot G,2024,[Artificial intelligence: to a better predictive strategy for testicular sperm extraction outcome in azoospermia].,Annales de biologie clinique,Ann Biol Clin (Paris),Journal Article; Review,Broad Reviews,ai_urology_broad; male_infertility,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
39238342,10.21037/cco-24-52,Castellani D,2024,Advancements in artificial intelligence for robotic-assisted radical prostatectomy in men suffering from prostate cancer: results from a scoping review.,Chinese clinical oncology,Chin Clin Oncol,Journal Article; Scoping Review,Broad Reviews,ai_urology_broad; ai_urology_implementation,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
38568094,10.1148/ryai.230138,Fassia MK,2024,Deep Learning Prostate MRI Segmentation Accuracy and Robustness: A Systematic Review.,Radiology. Artificial intelligence,Radiol Artif Intell,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Systematic Review",Broad Reviews,ai_urology_broad; prostate_mri,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
39678498,10.3389/fonc.2024.1465098,Kim H,2024,Machine learning approaches for spatial omics data analysis in digital pathology: tools and applications in genitourinary oncology.,Frontiers in oncology,Front Oncol,Journal Article; Review,Broad Reviews,ai_urology_broad,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
39470953,10.1007/s11934-024-01247-z,Mian AH,2024,Current and Future Directions of Technology in Assessment of Peyronie's Disease.,Current urology reports,Curr Urol Rep,Journal Article; Review,Broad Reviews,ai_urology_broad; ai_urology_implementation; erectile_dysfunction,INCLUDE,INCLUDE,UNCERTAIN,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_UNCERTAIN_AS_INCLUDE,Andrology,Abstract reviews Peyronie's disease technology and explicitly discusses AI for curvature assessment.
37945105,10.1016/j.ucl.2023.08.002,Scott Wang HH,2024,Artificial Intelligence in Pediatric Urology.,The Urologic clinics of North America,Urol Clin North Am,Journal Article; Review,Broad Reviews,ai_urology_broad,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
39663266,10.1007/s11934-024-01251-3,Teoman AS,2024,Artificial Intelligence-Based Clinical Decision-Making in Erectile Dysfunction: a Narrative Review.,Current urology reports,Curr Urol Rep,Journal Article; Review,Broad Reviews,ai_urology_broad; erectile_dysfunction; llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
41157181,10.3390/life15101508,Al Barajraji M,2025,"Beyond PSA: The Future of Prostate Cancer Diagnosis Using Artificial Intelligence, Novel Biomarkers, and Advanced Imagery.","Life (Basel, Switzerland)",Life (Basel),Journal Article; Review,Broad Reviews,ai_urology_broad; ai_urology_implementation; prostate_mri; prostate_pathology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
40382217,10.1016/j.euf.2025.04.031,Bogaert W,2025,Bridging Vision and Text: Applications and Challenges of Vision-Language Models in Urological Surgery.,European urology focus,Eur Urol Focus,Journal Article; Review,Broad Reviews,ai_urology_broad,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
39963119,10.3389/fdgth.2025.1482712,Fattah FH,2025,Comparative analysis of ChatGPT and Gemini (Bard) in medical inquiry: a scoping review.,Frontiers in digital health,Front Digit Health,Journal Article; Systematic Review,Broad Reviews,ai_urology_broad; llm_urology,INCLUDE,EXCLUDE,EXCLUDE,AVAILABLE,EXCLUDE,AGREE,Broad Reviews,Abstract is a general ChatGPT/Gemini medical-inquiry scoping review without urology-specific relevance.
41229580,10.4103/ua.ua_31_25,Gradwell LEF,2025,Atlas of predictive tools and scoring systems for outcomes in patients with posterior urethral valves: A comprehensive review of the literature.,Urology annals,Urol Ann,Journal Article; Review,Broad Reviews,ai_urology_broad,INCLUDE,INCLUDE,EXCLUDE,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_EXCLUDE_AS_INCLUDE,Benign/Functional,Abstract reviews posterior-urethral-valve predictive tools and notes that two use machine learning/artificial intelligence.
39764557,10.1093/hropen/hoae070,Jamalirad H,2025,AI predictive models and advancements in microdissection testicular sperm extraction for non-obstructive azoospermia: a systematic scoping review.,Human reproduction open,Hum Reprod Open,Journal Article; Scoping Review,Broad Reviews,ai_urology_broad; ai_urology_ethics; andrology_broad; male_infertility,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
41369719,10.1007/s11934-025-01308-x,Khosla L,2025,"Models and Metrics for Medical Education in Urology: Medical Student Education, Resident Education, and Future Directions.",Current urology reports,Curr Urol Rep,Journal Article; Review,Broad Reviews,ai_urology_broad,INCLUDE,INCLUDE,EXCLUDE,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_EXCLUDE_AS_INCLUDE,Broad Reviews,Abstract is a urology medical-education review that explicitly includes AI-supported content and feedback as future training infrastructure.
40629505,10.1097/CM9.0000000000003689,Li W,2025,Artificial intelligence in prostate cancer.,Chinese medical journal,Chin Med J (Engl),Journal Article; Review,Broad Reviews,ai_urology_broad; ai_urology_implementation; prostate_pathology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
41106980,10.1016/j.ucl.2025.07.005,Murad L,2025,Artificial Intelligence in Benign Prostatic Hyperplasia.,The Urologic clinics of North America,Urol Clin North Am,Journal Article; Review,Broad Reviews,ai_urology_broad; ai_urology_ethics; ai_urology_implementation; functional_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
40739419,10.1007/s00464-025-11907-x,Olsen RG,2025,Untangling surgical gesture analysis-are we even speaking the same language? a systematic review.,Surgical endoscopy,Surg Endosc,Journal Article; Systematic Review,Broad Reviews,ai_urology_broad; ai_urology_ethics,INCLUDE,EXCLUDE,EXCLUDE,AVAILABLE,EXCLUDE,AGREE,Broad Reviews,Abstract is a general surgical-gesture systematic review without a urology-specific scope.
40429314,10.3390/jcm14103318,Urso L,2025,The Role of Radiomics and Artificial Intelligence Applied to Staging PSMA PET in Assessing Prostate Cancer Aggressiveness.,Journal of clinical medicine,J Clin Med,Journal Article; Review,Broad Reviews,ai_urology_broad; ai_urology_implementation; psma_pet,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
40914722,10.1016/j.acra.2025.08.035,Wang Z,2025,AI-driven and Traditional Radiomic Model for Predicting Muscle Invasion in Bladder Cancer via Multi-parametric Imaging: A Systematic Review and Meta-analysis.,Academic radiology,Acad Radiol,Journal Article; Meta-Analysis; Systematic Review,Broad Reviews,ai_urology_broad; ai_urology_ethics; bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
39505734,10.1007/s00330-024-11160-1,Zhong J,2025,"Node-RADS: a systematic review and meta-analysis of diagnostic performance, category-wise malignancy rates, and inter-observer reliability.",European radiology,Eur Radiol,Journal Article; Meta-Analysis; Systematic Review,Broad Reviews,ai_urology_broad; ai_urology_ethics,INCLUDE,EXCLUDE,EXCLUDE,AVAILABLE,EXCLUDE,AGREE,Broad Reviews,"Abstract reviews Node-RADS as a structured reporting system, without AI/ML or urology-specific focus."
41483979,10.1016/j.urolonc.2025.12.001,Bazarkin A,2026,"Artificial intelligence in diagnostic, prognostic, and predictive genomic biomarkers for prostate cancer: Ready for prime time?",Urologic oncology,Urol Oncol,Journal Article; Review; Systematic Review,Broad Reviews,ai_urology_broad; ai_urology_implementation; andrology_broad,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
40928376,10.1097/JS9.0000000000003484,Ding Y,2026,Telerobotic surgery: a comprehensive two-decade evolution and the integration of emerging technologies.,"International journal of surgery (London, England)",Int J Surg,Journal Article; Review,Broad Reviews,ai_urology_broad,INCLUDE,EXCLUDE,EXCLUDE,AVAILABLE,EXCLUDE,AGREE,Broad Reviews,Abstract is a broad telerobotic-surgery review; urology is one example but the article is not urology-specific AI.
41775347,10.56434/j.arch.esp.urol.20267901.1,Katsimperis S,2026,Artificial Intelligence and Big Data in Urological Oncology: From Radiomics to Real-World Evidence.,Archivos espanoles de urologia,Arch Esp Urol,Journal Article; Review,Broad Reviews,ai_urology_broad; ai_urology_implementation; renal_kidney,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
41198493,10.1016/j.jpurol.2025.10.013,Khondker A,2026,The 2025 update on artificial intelligence models in pediatric urology: Results from the AI-PEDURO collaborative.,Journal of pediatric urology,J Pediatr Urol,Journal Article; Scoping Review,Broad Reviews,ai_urology_broad; uti_triage,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
40765212,10.1002/nau.70120,Kowalik C,2026,Considerations for Videourodynamics and How It Impacts Practice.,Neurourology and urodynamics,Neurourol Urodyn,Journal Article; Review,Broad Reviews,ai_urology_broad; functional_urology,INCLUDE,INCLUDE,EXCLUDE,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_EXCLUDE_AS_INCLUDE,Benign/Functional,Abstract reviews videourodynamics and explicitly discusses AI potential in lower urinary tract dysfunction assessment.
41698677,10.1111/bju.70164,de la Calle CM,2026,Digital pathology-based artificial intelligence algorithms in prostate cancer: inside the 'black box'.,BJU international,BJU Int,Journal Article; Review,Broad Reviews,ai_urology_broad; ai_urology_implementation; prostate_pathology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
32983112,10.3389/fimmu.2020.01900,Chen S,2020,Biomarkers of the Response to Immune Checkpoint Inhibitors in Metastatic Urothelial Carcinoma.,Frontiers in immunology,Front Immunol,"Journal Article; Research Support, Non-U.S. Gov't; Validation Study",Governance,ai_urology_implementation; bladder_cystoscopy,INCLUDE,INCLUDE,EXCLUDE,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_EXCLUDE_AS_INCLUDE,Bladder Cancer,Abstract reports a machine-learning nomogram for immune-checkpoint-inhibitor response in metastatic urothelial carcinoma.
33328049,10.1016/S2589-7500(20)30219-3,Cruz Rivera S,2020,Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI extension.,The Lancet. Digital health,Lancet Digit Health,"Journal Article; Research Support, Non-U.S. Gov't; Review",Governance,reporting_guidelines,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Governance,Abstract and metadata support the original human Include decision.
32064241,10.3389/fped.2020.00001,Smail LC,2020,Using Deep Learning Algorithms to Grade Hydronephrosis Severity: Toward a Clinical Adjunct.,Frontiers in pediatrics,Front Pediatr,Journal Article,Governance,ai_urology_implementation,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Benign/Functional,Abstract and metadata support the original human Include decision.
34244270,10.1136/bmjopen-2020-048008,Collins GS,2021,Protocol for development of a reporting guideline (TRIPOD-AI) and risk of bias tool (PROBAST-AI) for diagnostic and prognostic prediction model studies based on artificial intelligence.,BMJ open,BMJ Open,"Journal Article; Research Support, Non-U.S. Gov't",Governance,reporting_guidelines,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Governance,Abstract and metadata support the original human Include decision.
33481032,10.1001/jamanetworkopen.2020.31730,Coquet J,2021,Assessment of a Clinical Trial-Derived Survival Model in Patients With Metastatic Castration-Resistant Prostate Cancer.,JAMA network open,JAMA Netw Open,"Journal Article; Research Support, N.I.H., Extramural",Governance,ai_urology_implementation,INCLUDE,INCLUDE,UNCERTAIN,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_UNCERTAIN_AS_INCLUDE,Governance,Abstract evaluates and retrains a prostate-cancer prognostic model using EHR data and optimized feature selection.
33407780,10.1186/s13063-020-04951-6,Ibrahim H,2021,Reporting guidelines for clinical trials of artificial intelligence interventions: the SPIRIT-AI and CONSORT-AI guidelines.,Trials,Trials,Letter,Governance,reporting_guidelines,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Governance,Abstract and metadata support the original human Include decision.
36052317,10.3389/fdgth.2022.929508,Kwong JCC,2022,The silent trial - the bridge between bench-to-bedside clinical AI applications.,Frontiers in digital health,Front Digit Health,Journal Article,Governance,ai_urology_ethics; ai_urology_implementation,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Governance,Abstract and metadata support the original human Include decision.
35612220,10.3233/SHTI220601,Petsophonsakul P,2022,Augmenting THerapeutic Effectiveness Through Novel Analytics (ATHENA) - A Public and Private Partnership Project Funded by the Flemish Government (VLAIO).,Studies in health technology and informatics,Stud Health Technol Inform,Journal Article,Governance,ai_urology_implementation,INCLUDE,INCLUDE,EXCLUDE,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_EXCLUDE_AS_INCLUDE,Bladder Cancer,Abstract describes a data-driven precision-medicine platform with bladder cancer as a use case and privacy-preserving algorithms for decision support.
35585198,10.1038/s41591-022-01772-9,Vasey B,2022,Reporting guideline for the early-stage clinical evaluation of decision support systems driven by artificial intelligence: DECIDE-AI.,Nature medicine,Nat Med,"Journal Article; Practice Guideline; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Review",Governance,reporting_guidelines,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Governance,Abstract and metadata support the original human Include decision.
37389001,10.1259/bjro.20220053,Lenskjold A,2023,Should artificial intelligence have lower acceptable error rates than humans?,BJR open,BJR Open,Journal Article,Governance,reporting_guidelines,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Governance,Abstract and metadata support the original human Include decision.
37761380,10.3390/diagnostics13183013,Rovera G,2023,Machine Learning CT-Based Automatic Nodal Segmentation and PET Semi-Quantification of Intraoperative (68)Ga-PSMA-11 PET/CT Images in High-Risk Prostate Cancer: A Pilot Study.,"Diagnostics (Basel, Switzerland)",Diagnostics (Basel),Journal Article,Governance,ai_urology_implementation; psma_pet,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Prostate Imaging,Abstract and metadata support the original human Include decision.
37607794,10.1136/bmjopen-2023-074009,Thomas M,2023,Use of artificial intelligence in the detection of primary prostate cancer in multiparametric MRI with its clinical outcomes: a protocol for a systematic review and meta-analysis.,BMJ open,BMJ Open,"Journal Article; Research Support, Non-U.S. Gov't",Governance,ai_urology_ethics; ai_urology_implementation,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Prostate Imaging,Abstract and metadata support the original human Include decision.
36639172,10.1016/j.crad.2022.09.131,Vasey B,2023,DECIDE-AI: a new reporting guideline and its relevance to artificial intelligence studies in radiology.,Clinical radiology,Clin Radiol,Journal Article; Review,Governance,reporting_guidelines,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Governance,Abstract and metadata support the original human Include decision.
